A: 788, 2552, 910, 1736, 1989
B: 712, 87, 355, 166, 31
C: 953, 202, 541, 465, 331
D: 503, 107, 423, 235, 147
E: 209, 1319, 594, 1380, 1652
F: 467, 91, 217, 74, 32
G: 432, 81, 310, 153, 85
H: 323, 72, 125, 50, 22
I: 413, 1344, 1135, 1878, 2716
J: 212, 17, 94, 71, 74
K: 55, 5, 9, 4, 6
L: 529, 458, 864, 427, 790
M: 711, 192, 460, 260, 490
N: 349, 229, 777, 570, 412
O: 433, 1591, 323, 628, 146
P: 815, 171, 490, 168, 53
Q: 5, 1, 2, 0, 0
R: 568, 815, 1197, 625, 467
S: 1118, 151, 656, 392, 424
T: 746, 240, 835, 771, 841
U: 360, 1491, 568, 1070, 474
V: 466, 120, 191, 116, 37
W: 10, 4, 0, 2, 1
X: 21, 52, 91, 6, 24
Y: 12, 7, 5, 3, 17
Z: 244, 55, 282, 204, 193
